author1,author2,weight
A5001860013,A5063397356,1
A5001860013,A5064459502,2
A5001860013,A5071936720,1
A5001860013,A5078607547,1
A5001860013,A5080606732,2
A5001860013,A5082609484,1
A5001860013,A5088018461,1
A5001860013,A5104581739,1
A5001860013,A5105819238,4
A5001860013,A5107870304,1
A5001860013,A5107906324,2
A5001860013,A5112317355,2
A5001860013,A5114026770,3
A5001878824,A5025845183,1
A5001878824,A5051388517,1
A5001878824,A5067564527,1
A5001878824,A5074866537,1
A5001878824,A5078476389,1
A5001878824,A5084831549,1
A5001878824,A5091257044,1
A5001921851,A5010336667,3
A5001921851,A5015720603,2
A5001921851,A5019106575,1
A5001921851,A5027760373,1
A5001921851,A5028404747,1
A5001921851,A5036087804,1
A5001921851,A5041991433,1
A5001921851,A5046825575,3
A5001921851,A5048150356,2
A5001921851,A5076092085,2
A5001921851,A5079381636,1
A5001929892,A5031451767,1
A5001929892,A5045799758,1
A5001929892,A5065873501,1
A5001932957,A5074734519,1
A5001932957,A5087748785,1
A5001934733,A5042745262,1
A5001934733,A5094161289,1
A5001948776,A5005829774,2
A5001948776,A5044087282,2
A5001980353,A5009976057,1
A5001980353,A5045277510,1
A5001980353,A5048131944,1
A5001980353,A5056807627,1
A5001980353,A5062179655,1
A5001980353,A5072157213,1
A5001980353,A5083246343,1
A5001980353,A5108152797,1
A5002011562,A5023207047,1
A5002011562,A5027205277,1
A5002011562,A5033328394,1
A5002011562,A5077555252,1
A5002019458,A5031852379,1
A5002019458,A5048303863,1
A5002019458,A5062951688,1
A5002019458,A5066039057,1
A5002019458,A5078086979,1
A5002019458,A5081656957,1
A5002019458,A5100607374,1
A5002019458,A5100720596,1
A5002019458,A5103158476,1
A5002019458,A5107883655,1
A5002055305,A5062081276,1
A5002063551,A5033116312,1
A5002063551,A5044846457,1
A5002063551,A5084640881,1
A5002115553,A5051966189,1
A5002115553,A5052069153,3
A5002122091,A5007541807,2
A5002122091,A5008897132,1
A5002122091,A5015039212,1
A5002122091,A5016410274,1
A5002122091,A5016860805,1
A5002122091,A5027386204,4
A5002122091,A5029203723,2
A5002122091,A5031499581,2
A5002122091,A5032322313,1
A5002122091,A5035680685,1
A5002122091,A5039458731,1
A5002122091,A5055239116,5
A5002122091,A5059098076,1
A5002122091,A5060115781,2
A5002122091,A5064459502,1
A5002122091,A5070720961,3
A5002122091,A5071936720,3
A5002122091,A5083151668,4
A5002122091,A5085855139,1
A5002122091,A5093136201,1
A5002122091,A5093807150,1
A5002134541,A5009352598,2
A5002134541,A5021189098,2
A5002134541,A5047263497,3
A5002134541,A5047298979,2
A5002134541,A5048150356,2
A5002134541,A5050428053,2
A5002134541,A5052320430,4
A5002134541,A5069892286,1
A5002134541,A5070981700,2
A5002134541,A5089582958,1
A5002154828,A5011830400,1
A5002154828,A5025089672,1
A5002154828,A5100398118,1
A5002156173,A5012838414,1
A5002156173,A5015275157,1
A5002156173,A5018398572,1
A5002156173,A5019606925,1
A5002156173,A5034373849,1
A5002156173,A5052475039,2
A5002156173,A5083907562,1
A5002166110,A5001921851,3
A5002166110,A5005045483,1
A5002166110,A5006836174,1
A5002166110,A5010336667,14
A5002166110,A5010398085,1
A5002166110,A5015720603,2
A5002166110,A5016860231,2
A5002166110,A5019106575,1
A5002166110,A5021617334,1
A5002166110,A5024646212,2
A5002166110,A5025327684,1
A5002166110,A5026657286,1
A5002166110,A5027760373,4
A5002166110,A5028404747,12
A5002166110,A5034684238,2
A5002166110,A5036087804,1
A5002166110,A5038587512,1
A5002166110,A5041991433,1
A5002166110,A5046825575,3
A5002166110,A5047689265,2
A5002166110,A5048150356,4
A5002166110,A5050100188,1
A5002166110,A5056409436,1
A5002166110,A5065910712,5
A5002166110,A5076092085,2
A5002166110,A5076348557,1
A5002166110,A5079095373,1
A5002166110,A5079381636,9
A5002166110,A5103002714,1
A5002166110,A5109689502,1
A5002166110,A5114216794,2
A5002169023,A5103252995,1
A5002184511,A5020325536,2
A5002184511,A5051273344,2
A5002184511,A5056351183,3
A5002184511,A5076169024,2
A5002187329,A5027234006,1
A5002205579,A5007250505,1
A5002205579,A5075161165,1
A5002205579,A5079149437,1
A5002205579,A5080806261,1
A5002205579,A5102996715,1
A5002219268,A5004702402,1
A5002219268,A5021397313,1
A5002219268,A5049608551,1
A5002252308,A5018123514,1
A5002252308,A5038612231,1
A5002252308,A5043769490,1
A5002252308,A5065043481,1
A5002252308,A5074854811,1
A5002252308,A5083888520,1
A5002262896,A5073516588,1
A5002268234,A5043090781,1
A5002268234,A5050346860,1
A5002268234,A5076782555,1
A5002268234,A5077524772,1
A5002318919,A5009739092,1
A5002318919,A5017247300,2
A5002318919,A5020324492,1
A5002318919,A5103002714,1
A5002330756,A5023471380,1
A5002330756,A5044233389,1
A5002374094,A5004333169,1
A5002374094,A5025749902,1
A5002378652,A5004070487,1
A5002378652,A5006103287,1
A5002378652,A5006132144,1
A5002378652,A5013049455,1
A5002378652,A5017932231,1
A5002378652,A5033708290,2
A5002378652,A5034101680,1
A5002378652,A5034320048,1
A5002378652,A5049843538,2
A5002378652,A5067844379,1
A5002378652,A5071998139,7
A5002378652,A5079485402,1
A5002378652,A5085497661,6
A5002378652,A5101996225,1
A5002378652,A5109625311,1
A5002392520,A5034194323,1
A5002392520,A5059629753,2
A5002435187,A5010366312,1
A5002435187,A5069471943,1
A5002443635,A5044823819,1
A5002448336,A5089032364,1
A5002526355,A5055644931,1
A5002532052,A5093603051,1
A5002554301,A5008702084,1
A5002554301,A5014759932,1
A5002564562,A5004077905,1
A5002564562,A5005472435,1
A5002564562,A5021842392,1
A5002564562,A5040102140,1
A5002564562,A5040686125,1
A5002564562,A5044032830,1
A5002564562,A5076224222,1
A5002564562,A5107873270,1
A5002566729,A5042648708,1
A5002566729,A5080408281,1
A5002566729,A5080890851,1
A5002566729,A5087778837,1
A5002599650,A5007418876,1
A5002599650,A5026831597,1
A5002599662,A5031128819,2
A5002599662,A5045597716,2
A5002599662,A5062748038,2
A5002599662,A5064129953,2
A5002599662,A5090009799,2
A5002599662,A5112596370,2
A5002619069,A5000332257,1
A5002619069,A5003624509,1
A5002619069,A5004750232,1
A5002619069,A5021617334,1
A5002619069,A5029902696,1
A5002619069,A5031812482,1
A5002619069,A5033752336,1
A5002619069,A5035580414,1
A5002619069,A5077344513,1
A5002619069,A5083752122,1
A5002619069,A5089167457,1
A5002628587,A5004718016,1
A5002628587,A5018470853,1
A5002628587,A5026713556,1
A5002628587,A5049704512,1
A5002628587,A5060549482,1
A5002628587,A5061472080,1
A5002628587,A5061949276,1
A5002628587,A5068320009,1
